[0.000000] (-) TimerEvent: {}
[0.000191] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000223] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000233] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000259] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000269] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000277] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000283] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000290] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000297] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000303] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000309] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000316] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000323] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000329] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000336] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000343] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000349] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000428] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.000464] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000475] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000483] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000490] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000497] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000504] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000511] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000518] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000524] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000531] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000537] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000544] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000551] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000574] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000596] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000605] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000612] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000618] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000625] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000631] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000638] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000644] (-) JobUnselected: {'identifier': 'rm_robot_description'}
[0.000894] (-) EventReactorShutdown: {}
